MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition			9+1rostarthyst			Time:	51.821148	Sec
Time	Torsional Torque	Torsional Rotation
Sec	in-kip	deg
46.79491	-0.344053	-1.4419996
46.804905	-0.28868014	-1.2016664
46.814899	-0.24073532	-0.96247751
46.824894	-0.18536244	-0.69696647
46.834888	-8.6771727e-002	-0.39368877
46.844883	9.6904144e-002	-8.1255533e-002
46.854877	0.4324778	0.23942801
46.864872	0.51859367	0.61174428
46.874866	0.59730899	0.99666208
46.884861	0.70091718	1.3838711
46.894855	0.82538152	1.8134668
46.90485	0.96935654	2.2430625
46.914845	1.1207322	2.6554744
46.924839	1.3050741	3.1148555
46.934834	1.5116175	3.575382
46.944828	1.7242162	4.0324717
46.954823	1.9395059	4.5021634
46.964817	2.1655602	4.9787283
46.974812	2.4010332	5.453002
46.984806	2.6297786	5.9043636
46.994801	2.8551602	6.3660359
47.004795	3.1020706	6.844892
47.01479	3.3200514	7.2951083
47.024784	3.5413959	7.7350144
47.034779	3.759377	8.1806479
47.044773	3.9894681	8.5999336
47.054768	4.1913018	9.0169277
47.064762	4.3971729	9.4293394
47.074757	4.5909338	9.8005104
47.084751	4.7692204	10.160225
47.094746	4.9508715	10.515358
47.10474	5.1244483	10.833832
47.114735	5.2785153	11.129394
47.124729	5.4251814	11.407771
47.134724	5.5644469	11.675839
47.144718	5.6868925	11.909539
47.154713	5.7911735	12.104289
47.164707	5.8887267	12.284146
47.174702	5.9647512	12.437655
47.184696	6.0279927	12.545341
47.194691	6.0871973	12.646152
47.204685	6.1336193	12.706869
47.21468	6.149766	12.753838
47.224674	6.1080532	12.759566
47.234669	5.9116015	12.753838
47.244663	5.7467704	12.724052
47.254658	5.7104402	12.65188
47.264652	5.6539264	12.55336
47.274647	5.5900126	12.431928
47.284641	5.5166793	12.288729
47.294636	5.4251814	12.120327
47.30463	5.3269553	11.933597
47.314625	5.2233472	11.718225
47.324619	5.0961919	11.477653
47.334614	4.9562535	11.200419
47.344608	4.8129511	10.894547
47.354603	4.6467743	10.55889
47.364597	4.4523406	10.204904
47.374592	4.2713628	9.8360233
47.384586	4.0681829	9.4213209
47.394581	3.866349	9.014637
47.404575	3.6658604	8.5976429
47.41457	3.447207	8.1565905
47.424564	3.2150977	7.699501
47.434559	2.9776061	7.2275186
47.444553	2.7488608	6.7624097
47.454548	2.5275159	6.2915726
47.464542	2.2913699	5.8058429
47.474537	2.0619519	5.3418798
47.484531	1.8385888	4.8618779
47.494526	1.6037885	4.3990602
47.50452	1.3844621	3.9442616
47.514515	1.1785913	3.4951909
47.524509	0.97810268	3.038101
47.534504	0.7937609	2.5981948
47.544498	0.6161468	2.1754727
47.554493	0.45737067	1.7516049
47.564487	0.34338093	1.3369019
47.574482	0.23128465	0.96000326
47.584476	0.16915898	0.61288989
47.594471	6.9217704e-002	0.26692215
47.604465	-4.7605552e-002	-6.7522205e-002
47.61446	-0.42913812	-0.35821101
47.624454	-0.55406475	-0.64088869
47.634449	-0.61619043	-0.88923305
47.644444	-0.67426443	-1.1226996
47.654438	-0.70735306	-1.3275552
47.664433	-0.73774064	-1.515244
47.674427	-0.77488095	-1.6708884
47.684422	-0.80999547	-1.7853328
47.694416	-0.84105825	-1.8917661
47.704411	-0.86401778	-1.9810327
47.714405	-0.8748222	-2.025666
47.7244	-0.88022447	-2.056566
47.734394	-0.76407647	-2.050844
47.744389	-0.60943764	-2.0279551
47.754383	-0.56689501	-1.9718772
47.764378	-0.52097607	-1.883755
47.774372	-0.46627849	-1.7635883
47.784367	-0.40415281	-1.6045107
47.794361	-0.34945524	-1.4191107
47.804356	-0.2920565	-1.2062441
47.81435	-0.23735891	-0.94531083
47.824345	-0.17996022	-0.69353312
47.834339	-8.9472838e-002	-0.40513322
47.844334	0.10298166	-7.2099976e-002
47.854328	0.42440441	0.2600486
47.864323	0.52061206	0.59799725
47.874317	0.60000008	1.0046812
47.884312	0.71100885	1.4033461
47.894306	0.8354733	1.8031565
47.904301	0.95859206	2.2304611
47.914295	1.1220777	2.6783862
47.92429	1.3084379	3.1331849
47.934284	1.5095992	3.5730908
47.944279	1.7275801	4.0370541
47.954273	1.9502704	4.5021634
47.964268	2.1695969	4.961544
47.974262	2.389596	5.4461284
47.984257	2.6264148	5.9249845
47.994251	2.8632336	6.3763461
48.004246	3.0899603	6.8288536
48.01424	3.320724	7.2825069
48.024235	3.5521607	7.7476158
48.034229	3.7721598	8.1795025
48.044224	3.9840856	8.6159716
48.054218	4.188611	9.0226555
48.064213	4.3924632	9.4087191
48.074207	4.592279	9.7821808
48.084202	4.7739301	10.155643
48.094196	4.9401069	10.494738
48.104191	5.1170483	10.818939
48.114185	5.27246	11.119083
48.12418	5.4204717	11.412354
48.134174	5.5557008	11.64949
48.144169	5.6694007	11.877462
48.154163	5.7770457	12.077941
48.164158	5.879981	12.270399
48.174152	5.9519682	12.417035
48.184147	6.0239558	12.539613
48.194141	6.0757599	12.632405
48.204136	6.1147814	12.70114
48.21413	6.1504388	12.74811
48.224125	6.1464024	12.761857
48.234119	5.842978	12.750401
48.244114	5.7339873	12.706869
48.254108	5.7010212	12.647298
48.264103	5.653254	12.548778
48.274097	5.5913582	12.433073
48.284092	5.5173521	12.286438
48.294086	5.4305634	12.126056
48.304081	5.3303189	11.935887
48.314075	5.2199836	11.714789
48.32407	5.0982099	11.48338
48.334064	4.9582715	11.203856
48.344059	4.8169875	10.916314
48.354053	4.6595573	10.578365
48.364048	4.4738698	10.224379
48.374043	4.2780905	9.8451881
48.384037	4.0675101	9.4304857
48.394032	3.8697128	9.0329657
48.404026	3.6638422	8.5953512
48.414021	3.449898	8.1520081
48.424015	3.2292259	7.7166848
48.43401	3.0024991	7.2469935
48.444004	2.760298	6.7704287
48.453999	2.521461	6.2973003
48.463993	2.2987704	5.8333373
48.473988	2.0760803	5.371665
48.483982	1.8480078	4.8951001
48.493977	1.6313725	4.4299912
48.503971	1.4046454	3.9740469
48.513966	1.1846464	3.5181026
48.52396	0.98146665	3.0667408
48.533955	0.79241532	2.6325626
48.543949	0.62758416	2.1995301
48.553944	0.47822684	1.7790991
48.563938	0.34675732	1.3827255
48.573933	0.25019246	0.99437088
48.583927	0.1718601	0.63121933
48.593922	7.4619934e-002	0.2898339
48.603916	-6.8539195e-002	-3.089999e-002
