2023 Clear All Windows        $Clear Data and Formulae from All Windows
3221 Clear Window Range       $Clear Data and Formulae from Specified Windows

2037 Clear Data               $Clear Data from Window
2023 Clear All Data           $Clear Data from All Windows
3221 Clear Data Range         $Clear Data from Specified Windows

2041 Hide Window              $Hide Current Window
2013 Display Windows          $Display Selected Windows

2225 Update Worksheet         $Re-evaluate All Window Formulae
2205 Redraw Worksheet         $Redraw All Windows

2008 Tile Windows             $Automatically Tile Windows
2114 Tile Vertically          $Tile Windows in Columns
2113 Tile Horizontally        $Tile Windows in Rows
2115 Tile Equal               $Tile Windows in Equal Size
2009 Arrange Windows          $Arrange Windows without Overlapping

3206 Layout Rows              $Layout Windows in Specified Rows
3207 Layout Columns           $Layout Windows in Specified Columns
3208 Layout Rows & Columns    $Layout Windows in Specified Rows & Columns

2042 Magnify                  $Magnify a Section of a Window
2038 Zoom                     $Zoom a Window
3213 Margins                  $Set Plotting Margins for All Windows
2098 Demo / Tutorial          $Run Automatic Demonstration and Tutorial
2112 Password Request         $Generate a Password Request Form

2107 Print Preview            $Print Preview Window or Worksheet
2108 Print                    $Print Window or Worksheet

3309 Brighten     $Brighten or Darken an Image
3306 DCT2         $2D Discrete Cosine Transform
3145 FFT2         $2D Fast Fourier Transform
3308 Histeq       $Histogram Equalization
3307 IDCT2        $2D Inverse Discrete Cosine Transform
3146 IFFT2        $2D Inverse Fourier Transform
3305 Image24      $Convert to 24 Bit RGB Image
3330 Iminterp     $Image Interpolation
3144 Nonlin2d     $Nonlinear 2D Filtering
3334 Rgb2mono     $Convert to 8 Bit Monochrome Image
3143 Sobel        $Sobel Edge Detection











